url,ai_label,views,likes,comments,shares,hashtags,publishedAt,creatorname,country,platform
https://www.tiktok.com/@fruitsserie6/video/7635791660126915873,1,343800,27500,506,2133,"['#kifrüchte', '#früchte', '#ki', '#drama', '#fy']",2026-05-04 00:11:37,@fruitsserie6,DE,tiktok
https://www.tiktok.com/@ai.honkie/video/7635320828552416534,1,357000,30800,667,27300,"['#donaldtrump', '#justinbieber', '#trendsong', '#viral', '#fyp']",2026-05-02 17:44:29,@ai.honkie,DE,tiktok
https://www.tiktok.com/@naughtygirlyhere/video/7611890990550420759,1,98200,757,24,545,"['#mother', '#son', '#love', '#fyp']",2026-02-28 13:24:44,@naughtygirlyhere,DE,tiktok
https://www.tiktok.com/@celebrity.nun/video/7500215325582052630,1,909,251,5,0,"['#CapCut', '#yppppppppppppppppppppppp', '#goworldwide', '#gotrending', '#gotiktok', '#treandingvideo', '#celebritynun', '#fyp', '#friends', '#follow', '#views', '#viral', '#goviral']",2025-05-03 15:46:07,@celebrity.nun,DE,tiktok
https://www.tiktok.com/@robinbarnesbase/video/7632984755704728865,1,96700,2639,120,371,"['#fußball', '#bundesliga', '#bvb', '#bayernmunich']",2026-04-26 10:39:21,@robinbarnesbase,DE,tiktok
https://www.tiktok.com/@lachwindel/video/7602694218133294358,1,4200000,29400,2536,4056,"['#musik', '#lustigebabys', '#dancer', '#fyp']",2026-02-03 18:36:33,@lachwindel,DE,tiktok
https://www.tiktok.com/@kskwbvj/video/7615375073070861590,1,89100,902,35,700,"['#fy', '#früchte', '#aistory', '#ki']",2026-03-09 22:44:45,@kskwbvj,DE,tiktok
https://www.tiktok.com/@babyse167/video/7550863914393750787,1,95600,2303,42,711,"['#fyp', '#baby', '#mama', '#liebe', '#familie']",2025-09-17 03:28:58,@babyse167,DE,tiktok
https://www.tiktok.com/@lachwindel/video/7624595875787967777,1,27400,657,22,203,"['#ostern', '#froheostern', '#lustigebabys', '#babiesoftiktok', '#fyp']",2026-04-03 20:06:10,@lachwindel,DE,tiktok
https://www.tiktok.com/@jkcria777/video/7627260786590649621,1,10300000,1200000,6064,81500,"['#jungkook', '#creatorsearchinsight', '#viralvideo', '#bts', '#fyp']",2026-04-11 00:27:29,@jkcria777,DE,tiktok
https://www.tiktok.com/@theblacklotus9767/video/7633316846401228039,1,5652,128,17,33,"['#jungkook', '#jk', '#AI', '#fyp']",2026-04-27 08:08:03,@theblacklotus9767,DE,tiktok
