url,ai_label,views,likes,comments,shares,hashtags,publishedAt,creatorname,country,platform
https://www.tiktok.com/@franceswinkler/video/7633486730536045856,2,316,19,4,0,"['#foryoupage', '#KI', '#strand']",2026-04-27 19:07:16,@franceswinkler,DE,tiktok
https://www.tiktok.com/@jessie16119/video/7635584522473508128,2,76700,792,18,35,"['#fyp', '#trend', '#viral', '#wikinger', '#fy']",2026-05-03 10:47:47,@jessie16119,DE,tiktok
https://www.tiktok.com/@alcomedyworld49/video/7632398104779574560,2,860,36,2,0,"['#fy', '#fürdich', '#memesbr', '#ki', '#trend']",2026-04-24 20:42:48,@alcomedyworld49,DE,tiktok
https://www.tiktok.com/@globalbeatshub/video/7635854082577648928,2,3772,314,14,41,"['#bayernmunich', '#allianzarena', '#fcbayern', '#bayern', '#fürdich']",2026-05-04 04:14:38,@globalbeatshub,DE,tiktok
https://www.tiktok.com/@sir.georgy/video/7628637247700487456,2,191500,7175,643,8453,"['#wal', '#hope', '#ostsee', '#timmy', '#help']",2026-04-14 17:28:45,@sir.georgy,DE,tiktok
https://www.tiktok.com/@plushbykatrin/video/7625142470644436257,2,4935,92,4,43,"['#easter', '#ostern', '#lustig', '#meme', '#fürdich']",2026-04-05 07:27:33,@plushbykatrin,DE,tiktok
https://www.tiktok.com/@danielbagel77/video/7636995083480485152,2,30,1,1,0,['#trauer'],2026-05-07 06:02:02,@danielbagel77,DE,tiktok
https://www.tiktok.com/@djjontixx3/video/7636121869493472544,2,353,34,6,0,['#trauer'],2026-05-04 21:32:55,@djjontixx3,DE,tiktok
https://www.tiktok.com/@emirhan_ky/video/7636053287053167905,2,16700,398,20,205,"['#garten', '#Gartenhaus']",2026-05-04 17:06:49,@emirhan_ky,DE,tiktok
https://www.tiktok.com/@usa.funny130/video/7636420944067579167,2,5103,247,4,4,"['#LIVEIncentiveProgram', '#LIVEFEST2026', '#MakeLIVECount', '#PaidPartnership']",2026-05-05 16:53:50,@usa.funny130,DE,tiktok
https://www.tiktok.com/@dergameboy84/video/7332886050110590240,2,1200000,81600,518,1065,"['#pov', '#nintendo', '#3ds', '#nostalgic', '#dergameboy84', '#dergameboy']",2024-02-07 16:43:08,@dergameboy84,DE,tiktok
https://www.tiktok.com/@marcangali/video/7593643742809066774,2,145500,3875,90,1763,"['#mama', '#fyp', '#magyartiktok', '#fyp']",2026-01-10 09:16:14,@marcangali,DE,tiktok
https://www.tiktok.com/@cozy.vibes.studio4/video/7482953971192220974,2,776100,20300,872,9790,"['#relaxing', '#nature', '#naturelover', '#stressfree', '#relaxation', '#aigenerated', '#sunrise', '#sunset', '#amazingviews', '#landscapes', '#ai']",2025-03-18 02:23:33,@cozy.vibes.studio4,DE,tiktok
https://www.tiktok.com/@cem_0768/video/7637227365768219937,2,1158,127,1,3,"['#viral', '#fyp', '#foryoupage', '#twitchde', '#clipsdetwitch']",2026-05-07 21:02:48,@cem_0768,DE,tiktok
https://www.tiktok.com/@realmattis/video/7616103375528021280,2,471700,528,16,90,"['#dealsfürdich', '#tiktokmademebuylt', '#schoko', '#candylover89', '#kinder']",2026-03-11 21:50:57,@realmattis,DE,tiktok
https://www.tiktok.com/@.drejj/video/7636727285105691936,2,796,111,7,1,"['#fußball', '#championsleague', '#fy', '#bayern']",2026-05-06 12:42:19,@.drejj,DE,tiktok
https://www.tiktok.com/@goalcameuk/video/7634548382664592671,2,4975,104,5,7,"['#championsleague', '#rip', '#RipFCBayernMunich', '#fcbayern', '#usl']",2026-04-30 15:47:25,@goalcameuk,DE,tiktok
https://www.tiktok.com/@stradaki/video/7600933787458931990,2,29000,1064,38,707,"['#einzelhandel', '#fyp', '#ki']",2026-01-30 00:45:19,@stradaki,DE,tiktok
https://www.tiktok.com/@fussballsatire/video/7597928100046982433,2,14900,359,8,129,"['#championsleague', '#fcbayern', '#bayernmunich', '#fyp', '#viral']",2026-01-21 22:21:53,@fussballsatire,DE,tiktok
https://www.tiktok.com/@emrata19/video/7635975544294706454,2,39400,5508,397,453,"['#BTS', '#stadedefrance', '#BTF', '#tifophysique', '#btsarmy']",2026-05-04 12:05:11,@emrata19,DE,tiktok
https://www.tiktok.com/@haidy_808/video/7594562785246203156,2,8959,2098,133,22,"['#ترند', '#مشاهدات', '#تيك_توك', '#مشاهير_تيك_توك', '#الكويت_مصر_السعودية_سوريا_الامارت']",2026-01-12 20:42:45,@haidy_808,DE,tiktok
