"userid","Altersgruppe","condition","TLX_mental","TLX_physical","TLX_temporal","TLX_perf_raw","TLX_effort","TLX_frustration","TLX_total","PANAS_PA","PANAS_NA","UES_FA","UES_PU","UES_AE","UES_RW","UES_total","MFI_GF","Stress","avg_watchtime_nichtKI","avg_watchtime_KI","Alter"
"teilnehmer1","elderly",0,10,10,10,100,10,15,9.16666666666667,37,11,3.33333333333333,3,3.33333333333333,2.33333333333333,3,8,6,6.89228735632184,NA,57
"teilnehmer1","elderly",25,10,15,60,10,10,25,35,38,10,2.66666666666667,3.66666666666667,3.33333333333333,2.66666666666667,3.08333333333333,4,6,4.42544761904762,3.8566,57
"teilnehmer1","elderly",100,5,30,30,80,15,35,22.5,36,11,3,3.33333333333333,3,3,3.08333333333333,4,6,NA,1.74238333333333,57
"teilnehmer1","elderly",50,5,55,75,55,40,80,50,34,12,2.33333333333333,2.66666666666667,2.66666666666667,3,2.66666666666667,4,6,1.40216666666667,1.36045555555556,57
"teilnehmer1","elderly",75,10,20,70,60,50,65,42.5,30,15,3,2.33333333333333,3.33333333333333,3,2.91666666666667,4,6,1.28153333333333,1.22955555555556,57
"teilnehmer2","elderly",100,5,5,5,50,5,45,19.1666666666667,10,13,1,3.66666666666667,1.66666666666667,1,1.83333333333333,4,0,NA,6.71060674157303,64
"teilnehmer2","elderly",75,5,5,45,100,5,5,10.8333333333333,10,16,1,3,1.66666666666667,1,1.66666666666667,4,0,4.83002325581395,3.07507874015748,64
"teilnehmer2","elderly",0,5,5,50,5,5,55,35.8333333333333,10,14,1,4,1.66666666666667,1,1.91666666666667,4,0,3.82994230769231,NA,64
"teilnehmer2","elderly",50,5,5,55,5,5,55,36.6666666666667,12,14,1,3.33333333333333,1,1,1.58333333333333,4,0,1.47448888888889,1.57044444444444,64
"teilnehmer2","elderly",25,5,5,55,5,5,50,35.8333333333333,10,16,1,4,1.66666666666667,1,1.91666666666667,4,0,1.02879259259259,0.944844444444444,64
"teilnehmer3","elderly",50,30,25,25,30,30,80,43.3333333333333,18,21,2,3.33333333333333,2.33333333333333,1.66666666666667,2.33333333333333,14,47,9.15642424242424,8.45014705882353,65
"teilnehmer3","elderly",75,30,25,30,50,30,80,40.8333333333333,15,15,3,2.66666666666667,2.33333333333333,1.33333333333333,2.33333333333333,14,37,7.0908947368421,8.30139285714286,65
"teilnehmer3","elderly",25,35,30,35,60,50,75,44.1666666666667,14,14,3,3.33333333333333,3,2.33333333333333,2.91666666666667,14,55,5.02024705882353,6.10939285714286,65
"teilnehmer3","elderly",100,30,30,35,50,50,50,40.8333333333333,14,11,3,2.66666666666667,2.33333333333333,2,2.5,14,66,NA,6.79934090909091,65
"teilnehmer3","elderly",0,65,65,65,45,65,75,65,14,10,3.33333333333333,3.33333333333333,2.66666666666667,2,2.83333333333333,17,84,4.57763358778626,NA,65
"teilnehmer4","elderly",25,25,15,15,65,20,15,20.8333333333333,32,14,3.66666666666667,3.33333333333333,4,3,3.5,11,15,19.0567727272727,21.378625,68
"teilnehmer4","elderly",0,20,20,15,65,20,20,21.6666666666667,31,12,3,3.66666666666667,3.33333333333333,3.33333333333333,3.33333333333333,11,21,24.49175,NA,68
"teilnehmer4","elderly",50,20,15,25,70,20,20,21.6666666666667,31,11,3.33333333333333,3.66666666666667,3.66666666666667,3.33333333333333,3.5,11,16,16.7077857142857,24.0865333333333,68
"teilnehmer4","elderly",100,15,20,15,70,15,15,18.3333333333333,32,11,3.66666666666667,3.66666666666667,3.66666666666667,3.33333333333333,3.58333333333333,8,16,NA,25.7306086956522,68
"teilnehmer4","elderly",75,15,15,20,65,20,20,20.8333333333333,27,12,2.66666666666667,3.33333333333333,3.33333333333333,4,3.33333333333333,8,18,19.755,22.8961,68
"teilnehmer5","elderly",100,10,5,5,75,5,5,9.16666666666667,27,10,3.33333333333333,4.33333333333333,2,2.66666666666667,3.08333333333333,11,0,NA,10.3392931034483,74
"teilnehmer5","elderly",0,5,5,10,85,10,5,8.33333333333333,28,10,2.33333333333333,4.33333333333333,3,2.33333333333333,3,12,0,7.78727272727273,NA,74
"teilnehmer5","elderly",75,5,5,5,55,10,10,13.3333333333333,27,10,3.66666666666667,4.33333333333333,4,3.66666666666667,3.91666666666667,11,0,5.50018181818182,7.14385074626866,74
"teilnehmer5","elderly",25,10,10,10,45,5,10,16.6666666666667,29,10,3,4.33333333333333,3,2.66666666666667,3.25,12,0,5.78675609756098,4.63337037037037,74
"teilnehmer5","elderly",50,10,5,10,50,5,10,15,21,10,2.66666666666667,4.33333333333333,3,3,3.25,12,0,4.18128767123288,4.03305479452055,74
"teilnehmer6","elderly",75,25,10,65,75,25,25,29.1666666666667,38,12,4.33333333333333,3.66666666666667,3.33333333333333,4.33333333333333,3.91666666666667,8,38,27.2134,30.8570714285714,58
"teilnehmer6","elderly",50,15,5,45,35,30,15,29.1666666666667,31,13,4,3,3.33333333333333,2.66666666666667,3.25,8,41,18.0148125,18.1830588235294,58
"teilnehmer6","elderly",100,15,45,15,15,15,50,37.5,23,16,3,2.33333333333333,2.66666666666667,1.66666666666667,2.41666666666667,8,48,NA,7.77045454545455,58
"teilnehmer6","elderly",25,30,45,20,30,50,20,39.1666666666667,21,14,3.66666666666667,3.33333333333333,2.33333333333333,3,3.08333333333333,7,49,8.64989285714286,6.40466666666667,58
"teilnehmer6","elderly",0,55,55,15,55,75,25,45,14,13,3,2.33333333333333,2,1,2.08333333333333,7,63,6.44763440860215,NA,58
"teilnehmer8","elderly",0,5,5,5,95,10,75,17.5,16,10,1.66666666666667,3.33333333333333,2.33333333333333,1.33333333333333,2.16666666666667,4,2,4.06191836734694,NA,67
"teilnehmer7","elderly",25,10,10,25,55,15,10,19.1666666666667,24,10,2,4.66666666666667,3.33333333333333,2.66666666666667,3.16666666666667,6,7,10.2044090909091,10.7534285714286,67
"teilnehmer8","elderly",100,5,5,10,85,10,5,8.33333333333333,13,10,2.33333333333333,4,3.33333333333333,2.33333333333333,3,4,0,NA,5.60399065420561,67
"teilnehmer7","elderly",50,20,20,25,50,25,15,25.8333333333333,22,11,1.66666666666667,4.33333333333333,3.33333333333333,2.33333333333333,2.91666666666667,7,9,5.48478431372549,6.36154,67
"teilnehmer8","elderly",25,5,5,5,60,5,5,10.8333333333333,13,10,1.66666666666667,4.33333333333333,3,1,2.5,4,0,2.0565037037037,1.9012,67
"teilnehmer7","elderly",0,20,15,30,50,15,10,23.3333333333333,22,11,1.66666666666667,4,3.33333333333333,2.66666666666667,2.91666666666667,7,10,3.75209433962264,NA,67
"teilnehmer8","elderly",75,5,5,5,75,5,5,8.33333333333333,14,10,1.66666666666667,4.66666666666667,2,1,2.33333333333333,4,0,1.56273333333333,1.84817037037037,67
"teilnehmer8","elderly",50,5,5,5,75,5,5,8.33333333333333,16,10,2,4.33333333333333,1.66666666666667,1,2.25,4,0,1.43202222222222,1.43965555555556,67
"teilnehmer7","elderly",75,15,15,25,50,20,10,22.5,21,11,2,4.33333333333333,3.33333333333333,2,2.91666666666667,7,12,2.13675555555556,3.67023134328358,67
"teilnehmer7","elderly",100,15,10,15,50,15,10,19.1666666666667,20,12,2,3.66666666666667,2.66666666666667,1.66666666666667,2.5,6,10,NA,2.08229444444444,67
"teilnehmer9","elderly",75,50,70,80,35,70,55,65,28,18,2.66666666666667,2.66666666666667,3.66666666666667,3.33333333333333,3.08333333333333,12,13,18.26425,19.6998695652174,59
"teilnehmer10","elderly",50,30,35,90,60,40,65,50,26,15,4.33333333333333,3.33333333333333,4.33333333333333,4,4,7,13,3.95832352941176,4.82479411764706,67
"teilnehmer9","elderly",100,45,20,70,45,55,30,45.8333333333333,23,17,2.66666666666667,2.66666666666667,3.66666666666667,3.66666666666667,3.16666666666667,8,19,NA,24.9894166666667,59
"teilnehmer10","elderly",25,55,55,65,60,75,25,52.5,26,11,4.33333333333333,2.66666666666667,4.33333333333333,4,3.83333333333333,10,14,2.39753333333333,1.51806666666667,67
"teilnehmer9","elderly",50,50,40,45,50,50,30,44.1666666666667,29,11,2.66666666666667,3.33333333333333,4,3.33333333333333,3.33333333333333,10,26,14.5265,24.4848666666667,59
"teilnehmer10","elderly",75,75,65,85,85,45,35,53.3333333333333,29,11,4,2.33333333333333,4.33333333333333,4,3.66666666666667,8,12,4.4118,1.82205185185185,67
"teilnehmer9","elderly",0,60,55,70,40,80,55,63.3333333333333,27,11,3.66666666666667,3,4,3.33333333333333,3.5,10,25,9.51868253968254,NA,59
"teilnehmer10","elderly",0,55,60,75,70,55,75,58.3333333333333,23,14,4.33333333333333,2.33333333333333,4.33333333333333,4,3.75,10,16,1.92068888888889,NA,67
