"userid","Altersgruppe","condition","TLX_mental","TLX_physical","TLX_temporal","TLX_perf_raw","TLX_effort","TLX_frustration","TLX_total","PANAS_PA","PANAS_NA","UES_FA","UES_PU","UES_AE","UES_RW","UES_total","MFI_GF","Stress","avg_watchtime_nichtKI","avg_watchtime_KI","Alter"
"teilnehmer1_2","young adults",0,10,5,10,5,5,5,21.6666666666667,19,17,2.33333333333333,4.66666666666667,2.33333333333333,1.66666666666667,2.75,11,70,8.1268904109589,NA,21
"teilnehmer1_2","young adults",25,5,5,5,5,15,5,21.6666666666667,12,17,2,3,2.66666666666667,1.66666666666667,2.33333333333333,11,76,6.79806779661017,9.80295,21
"teilnehmer1_2","young adults",100,5,5,5,5,5,35,25,10,20,1.33333333333333,5,2.33333333333333,1.33333333333333,2.5,10,80,NA,7.10419047619048,21
"teilnehmer1_2","young adults",50,5,5,5,5,5,45,26.6666666666667,10,18,1.66666666666667,4,2,1,2.16666666666667,10,60,6.59593023255814,6.64455813953488,21
"teilnehmer1_2","young adults",75,5,5,5,5,5,60,29.1666666666667,10,21,1.33333333333333,3.66666666666667,2.33333333333333,1,2.08333333333333,10,80,5.18211428571429,3.93080188679245,21
"teilnehmer2_2","young adults",100,10,30,50,50,50,50,40,30,14,1.66666666666667,4,2.66666666666667,1.33333333333333,2.41666666666667,8,33,NA,3.78835443037975,21
"teilnehmer2_2","young adults",75,15,20,15,50,10,50,26.6666666666667,29,15,2,3,2,1,2,9,25,7.38913636363636,2.0795303030303,21
"teilnehmer2_2","young adults",0,15,20,25,50,20,50,30,28,17,2.33333333333333,3.66666666666667,3.66666666666667,2.33333333333333,3,9,23,4.28253571428571,NA,21
"teilnehmer2_2","young adults",50,10,20,20,50,35,60,32.5,27,16,1,2.66666666666667,2,1,1.66666666666667,9,27,3.07278888888889,2.69863333333333,21
"teilnehmer2_2","young adults",25,10,20,20,50,50,65,35.8333333333333,27,17,1.33333333333333,2.66666666666667,2.33333333333333,1,1.83333333333333,9,27,2.98923577235772,5.619,21
"teilnehmer4_2","young adults",25,15,10,35,55,35,50,31.6666666666667,22,13,2.66666666666667,3.33333333333333,2.33333333333333,2,2.58333333333333,10,22,6.99104411764706,5.58240909090909,20
"teilnehmer4_2","young adults",0,20,5,10,40,30,15,23.3333333333333,16,10,2,2.66666666666667,2,1.33333333333333,2,10,30,4.64850387596899,NA,20
"teilnehmer4_2","young adults",50,5,5,20,15,10,85,35,11,15,2,1.33333333333333,1.66666666666667,1.33333333333333,1.58333333333333,7,70,2.31338596491228,8.05403448275862,20
"teilnehmer4_2","young adults",100,5,5,25,10,5,90,36.6666666666667,10,13,2,1,1.33333333333333,1.33333333333333,1.41666666666667,8,84,NA,4.7504126984127,20
"teilnehmer4_2","young adults",75,5,5,5,15,25,95,36.6666666666667,10,14,2,1,1.66666666666667,1.33333333333333,1.5,8,86,4.90103125,4.55293617021277,20
"teilnehmer3_2B","young adults",50,5,5,5,15,5,10,19.1666666666667,23,16,1.66666666666667,3.33333333333333,2.66666666666667,1.66666666666667,2.33333333333333,15,45,8.1223947368421,6.88015789473684,25
"teilnehmer3_2B","young adults",75,5,5,10,5,5,5,20.8333333333333,14,20,1,2,1,1,1.25,10,17,4.98586842105263,3.5667652173913,25
"teilnehmer3_2B","young adults",25,5,5,5,5,5,5,20,11,20,1.66666666666667,1.33333333333333,1.66666666666667,1.33333333333333,1.5,12,54,3.62649074074074,5.35656756756757,25
"teilnehmer3_2B","young adults",100,5,5,5,5,5,5,20,10,10,1,2.33333333333333,1,1,1.33333333333333,8,95,NA,4.50867669172932,25
"teilnehmer3_2B","young adults",0,10,15,15,20,5,15,23.3333333333333,19,26,2.66666666666667,3,3,2.66666666666667,2.83333333333333,13,49,6.57247252747253,NA,25
"teilnehmer5_2","young adults",100,5,5,5,100,5,75,15.8333333333333,11,11,1,3.66666666666667,3.33333333333333,1,2.25,9,70,NA,4.56711111111111,24
"teilnehmer5_2","young adults",0,25,5,20,100,10,60,20,15,10,3.33333333333333,4,3.33333333333333,2.66666666666667,3.33333333333333,10,70,6.54667032967033,NA,24
